読む	よむ	читать
鏡	かがみ	зеркало
講義	こうぎ	лекция
去年	きょねん	прошлый год
季節	きせつ	время года,сезон
御釣り	おつり	обмен (денег), сдача
一杯	いっぱい	полно,до предела
講堂	こうどう	аудитория
警察	けいさつ	полиция
複雑	ふくざつ	сложный
社長	しゃちょう	президент компании,управляющий компанией
歴史	れきし	история
大体	だいたい	вообще,обычно (1)
女性	じょせい	женщина
電報	でんぽう	телеграмма
屹度	きっと	несомненно,определенно,точно
決る	きまる	принимать решение
経済	けいざい	экономика,финансы
部長	ぶちょう	глава отдела
鶏肉	とりにく	курица
笑う	わらう	смеяться,улыбаться
赤ちゃん	あかちゃん	малыш,ребенок
退院	たいいん する	покидать больницу (выписка из больницы)
倍	ばい	вдвое,двойной
嘘	うそ	ЛОЖЬ
迎える	むかえる	встречать,выходить навстречу
教会	きょうかい	церковь
兎	うさぎ	заяц
増える	ふえる	увеличивать,умножать
世話	せわ する	присмотр, помощь
表	おもて	фасад,поверхность,экстерьер
展覧会	てんらんかい	выставка
小説	しょうせつ	роман,рассказ,повесть
米	こめ	рис
お巡りさん	おまわりさん	полицейский(1)
木綿	もめん	хлопок (ткань)
下着	したぎ	нижнее белье
工場	こうじょう	завод
将来	しょうらい	будущее,перспективы
妻	つま	жена,супруга
赤ん坊	あかんぼう	малыш
夫	おっと	муж,супруг
都	と	городской
競争	きょうそう	состязание,соревнование
下宿	げしゅく	снимаемое жилье
返事	へんじ	ответ,отвечать
代わり	かわり	заменитель
予約	よやく	резервирование
安心	あんしん	спокойствие
可愛い	かわいい	милый
お見舞い	おみまい	запрос
柔道	じゅうどう	Дзюдо ( боевое искусство)
決める	きめる	решать
空気	くうき	воздух,атмосфера
電灯	でんとう	электрический свет
不便	ふべん	неудобство
交通	こうつう	траффик,движение,перевозка
校長	こうちょう	директор школы
訳	わけ	значение,смысл
明後日	あさって	послезавтра
放送	ほうそう する	вещание
日記	にっき	дневник
滑る	すべる	скользить
周り	まわり	окружность, окрестности
痩せる	やせる	худеть
戻る	もどる	возвращать
文法	ぶんぽう	грамматика
玩具	おもちゃ	игрушка
計画	けいかく する	план,проект,программа
噛む	かむ	кусать,жевать
亡くなる	なくなる	умирать
適当	てきとう	подходящий,соответствие
一生懸命	いっしょうけんめい	стараться изо всех сил,напрягая все силы
訪ねる	たずねる	посещать
入院	にゅういん する	госпитализация
夢	ゆめ	мечта
鍵	かぎ	ключи
暫く	しばらく	скоро
趣味	しゅみ	любимое занятие (хобби)
支度	したく する	подготовка
通う	かよう	совершать регулярные поездки
普通	ふつう	(1)вообще,обычно,(2) поезд
今夜	こんや	сегодня вечером
褒める	ほめる	хвалить
田舎	いなか	провинция
盛ん	さかん	популярность,процветающий
坂	さか	склон,холм
